-1.000000000000000000e+00,-1.228715052017418350e-08,-1.979344868823560213e-08,0.000000000000000000e+00,0.000000000000000000e+00,-2.303840722532659118e-08,-3.711271629044174613e-08
-9.999978038281271964e-01,9.136000619327904333e-06,6.398490994291686770e-06,1.223154413934552493e-11,-3.777801549751490795e-12,-3.204726065521163699e-06,1.939435837081952444e-06
-9.999912153221552913e-01,3.657971470023789869e-05,2.565314334917727859e-05,1.983422454951209309e-10,-6.206760518449921610e-11,-1.275185502941862578e-05,7.868750819197513208e-06
-9.999802345110231361e-01,8.231488880575653106e-05,5.774238606874465156e-05,1.006525542075332901e-09,-3.155982597863684364e-10,-2.867159865824515935e-05,1.774764960175183995e-05
-9.999648614429623716e-01,1.463349489873334841e-04,1.026641177711294558e-04,3.183584686649835271e-09,-9.984487767768410547e-10,-5.097585411169001018e-05,3.157248196736545408e-05
-9.999450961854965403e-01,2.286303554274891827e-04,1.604151462416125034e-04,7.774710853704622454e-09,-2.437302665074206405e-09,-7.968192906547606649e-05,4.933775110265859728e-05
-9.999209388254417519e-01,3.291897409911847205e-04,2.309909516091102327e-04,1.612309056195007955e-08,-5.050480913604344225e-09,-1.148104280322279411e-04,7.103575228787373263e-05
-9.998923894689052405e-01,4.479983002602086397e-04,3.143862651363973698e-04,2.986945093802690306e-08,-9.346638930321623835e-09,-1.563883000555781565e-04,9.665776444463070407e-05
-9.998594482412856976e-01,5.850393735704386691e-04,4.105946281887727211e-04,5.095150118339724605e-08,-1.592320445662586844e-08,-2.044459017929157985e-04,1.261933530739885873e-04
-9.998221152872722728e-01,7.402929486866689692e-04,5.196083848952904065e-04,8.160325907420956837e-08,-2.546449795375219845e-08,-2.590198460503065629e-04,1.596305098620366659e-04
-9.997803907708440185e-01,9.137376627083998448e-04,6.414185360373129974e-04,1.243542630564093014e-07,-3.873964409739466779e-08,-3.201492933943419030e-04,1.969555555540669840e-04
-9.997342748752695574e-01,1.105348318190279384e-03,7.760147140346850035e-04,1.820286680222303086e-07,-5.660015832034163496e-08,-3.878806606024026477e-04,2.381532932471367868e-04
-9.996837678031056384e-01,1.315098541648195484e-03,9.233853233463080448e-04,2.577442797870214980e-07,-7.997719111639402006e-08,-4.622626931492721512e-04,2.832074951722580156e-04
-9.996288697761966935e-01,1.542958784083458840e-03,1.083516936855249925e-03,3.549114534439538132e-07,-1.098787337631380380e-07,-5.433502773765681729e-04,3.321000176664698988e-04
-9.995695810356738376e-01,1.788897654903312800e-03,1.256394457338413755e-03,4.772318322871835768e-07,-1.473862296771951160e-07,-6.312020084966556144e-04,3.848113738348831196e-04
-9.995059018419534258e-01,2.052881405082331284e-03,1.442000827318624338e-03,6.286969996779875424e-07,-1.936512914430138898e-07,-7.258812347374517509e-04,4.413204824712449047e-04
-9.994378324747364983e-01,2.334873920857838230e-03,1.640317433801138317e-03,8.135870636227292078e-07,-2.498918083262618615e-07,-8.274561501023737411e-04,5.016057428368427299e-04
-9.993653732330070039e-01,2.634837087522323273e-03,1.851323002727022805e-03,1.036469117247103058e-06,-3.173880254704358464e-07,-9.359991991303655929e-04,5.656433004797249827e-04
