 energy shell parameters
             Nshells                80
              kstart      43.770000000
                kend    1660.000000000
               Npmax                20
 isotropic coordinates
    i    j                 x                 y                 z
    3   14   0.100167072E+01   0.735956842E+02   0.418879020E+02
    3   15   0.199107334E+02   0.708582442E+02  -0.418879020E+02
    3   16   0.596565803E+02   0.431094015E+02  -0.418879020E+02
    3   17   0.735992289E+02  -0.693966044E+00  -0.418879020E+02
    3   18   0.506922863E+02  -0.533630976E+02  -0.418879020E+02
    3   19   0.704155782E+02  -0.214236885E+02   0.418879020E+02
    3   20   0.520448272E+02   0.520448272E+02   0.418879020E+02
    3   21  -0.520448272E+02   0.520448272E+02   0.418879020E+02
    3   22  -0.677476382E+02   0.287677874E+02  -0.418879020E+02
    3   23  -0.531741826E+02  -0.508904155E+02  -0.418879020E+02
    3   24  -0.548230634E+02  -0.491096711E+02  -0.418879020E+02
    3   25  -0.603654543E+02  -0.421110437E+02   0.418879020E+02
    3   26  -0.449110646E+02  -0.583123002E+02   0.418879020E+02
    3   27  -0.882129759E+01  -0.870194080E+01   0.837758041E+02
    3   28  -0.371521290E+02   0.635377635E+02   0.418879020E+02
    3   29  -0.100167072E+01   0.735956842E+02   0.418879020E+02
    3   30  -0.520448272E+02   0.520448272E+02  -0.418879020E+02
    3   31   0.242275541E+02   0.695007460E+02  -0.418879020E+02
    3   32   0.366961064E+01   0.118352449E+02  -0.837758041E+02
    3   33   0.629374872E+02  -0.381601989E+02  -0.418879020E+02
    3   34   0.100167072E+01  -0.735956842E+02  -0.418879020E+02
    3   35   0.199107334E+02  -0.708582442E+02   0.418879020E+02
    3   36   0.596565803E+02  -0.431094015E+02   0.418879020E+02
    3   37   0.735992289E+02   0.693966044E+00   0.418879020E+02
    3   38   0.506922863E+02   0.533630976E+02   0.418879020E+02
    3   39   0.704155782E+02   0.214236885E+02  -0.418879020E+02
    3   40   0.520448272E+02  -0.520448272E+02  -0.418879020E+02
    4    1   0.678271196E+02   0.685604081E+02  -0.418879020E+02
    4    2   0.826225591E+01   0.960873709E+02  -0.418879020E+02
    4    3  -0.323801981E+02   0.908436596E+02   0.418879020E+02
    4    4   0.405466363E+02   0.489206396E+02   0.837758041E+02
    4    5   0.898087272E+02   0.351488297E+02   0.418879020E+02
    4    6   0.882549525E+02  -0.388858723E+02   0.418879020E+02
    4    7   0.817099041E+02  -0.512302575E+02  -0.418879020E+02
    4    8   0.952405435E+02   0.151751961E+02  -0.418879020E+02
    4    9  -0.613319793E+02   0.166026208E+02  -0.837758041E+02
    4   10  -0.654101455E+02   0.708700259E+02  -0.418879020E+02
    4   11  -0.947677795E+02   0.178917770E+02  -0.418879020E+02
    4   12  -0.780413045E+02   0.566621788E+02   0.418879020E+02
    4   13  -0.653726414E+02  -0.709046224E+02   0.418879020E+02
    4   14   0.613319793E+02  -0.166026208E+02   0.837758041E+02
    4   15   0.654101455E+02  -0.708700259E+02   0.418879020E+02
    4   16  -0.826225591E+01  -0.960873709E+02   0.418879020E+02
    4   17   0.323801981E+02  -0.908436596E+02  -0.418879020E+02
    4   18  -0.405466363E+02  -0.489206396E+02  -0.837758041E+02
    4   19  -0.924366447E+02  -0.275048072E+02  -0.418879020E+02
    4   20  -0.742694550E+02  -0.615231320E+02   0.418879020E+02
    4   21   0.678271196E+02  -0.685604081E+02   0.418879020E+02
    4   22   0.826225591E+01  -0.960873709E+02   0.418879020E+02
    4   23  -0.323801981E+02  -0.908436596E+02  -0.418879020E+02
    4   24   0.405466363E+02  -0.489206396E+02  -0.837758041E+02
    4   25   0.898087272E+02  -0.351488297E+02  -0.418879020E+02
    4   26   0.882549525E+02   0.388858723E+02  -0.418879020E+02
    4   27   0.817099041E+02   0.512302575E+02   0.418879020E+02
    4   28   0.952405435E+02  -0.151751961E+02   0.418879020E+02
    4   29  -0.613319793E+02  -0.166026208E+02   0.837758041E+02
    4   30  -0.654101455E+02  -0.708700259E+02   0.418879020E+02
    4   31  -0.947677795E+02  -0.178917770E+02   0.418879020E+02
    4   32  -0.780413045E+02  -0.566621788E+02  -0.418879020E+02
    4   33  -0.653726414E+02   0.709046224E+02  -0.418879020E+02
    4   34   0.613319793E+02   0.166026208E+02  -0.837758041E+02
    4   35   0.654101455E+02   0.708700259E+02  -0.418879020E+02
    4   36  -0.826225591E+01   0.960873709E+02  -0.418879020E+02
    4   37   0.323801981E+02   0.908436596E+02   0.418879020E+02
    4   38  -0.405466363E+02   0.489206396E+02   0.837758041E+02
    4   39  -0.924366447E+02   0.275048072E+02   0.418879020E+02
    4   40  -0.742694550E+02   0.615231320E+02  -0.418879020E+02
    5    1   0.720573958E+02  -0.597144815E+02   0.837758041E+02
    5    2   0.878179587E+02   0.323433719E+02   0.837758041E+02
    5    3   0.500895922E+02   0.790513778E+02   0.837758041E+02
    5    4  -0.553562085E+02   0.754571253E+02   0.837758041E+02
    5    5  -0.293423017E+02  -0.888657241E+02   0.837758041E+02
    5    6  -0.693993740E+02  -0.959458362E+02   0.418879020E+02
    5    7  -0.566950052E+01  -0.118278203E+03  -0.418879020E+02
    5    8   0.737747932E+02  -0.926237361E+02   0.418879020E+02
    5    9   0.111490760E+03  -0.398959528E+02  -0.418879020E+02
    5   10   0.112686549E+03   0.363815636E+02   0.418879020E+02
    5   11   0.693993740E+02   0.959458362E+02  -0.418879020E+02
    5   12   0.566950052E+01   0.118278203E+03   0.418879020E+02
    5   13  -0.737747932E+02   0.926237361E+02  -0.418879020E+02
    5   14  -0.111028042E+03   0.411661318E+02   0.418879020E+02
    5   15  -0.112686549E+03  -0.363815636E+02  -0.418879020E+02
    5   16  -0.878179587E+02  -0.323433719E+02  -0.837758041E+02
    5   17  -0.170528132E+02  -0.920178740E+02  -0.837758041E+02
    5   18   0.893368206E+02  -0.278750796E+02  -0.837758041E+02
    5   19   0.735335989E+02   0.578869364E+02  -0.837758041E+02
    5   20  -0.720573958E+02   0.597144815E+02  -0.837758041E+02
    5   21   0.720573958E+02   0.597144815E+02  -0.837758041E+02
    5   22   0.878179587E+02  -0.323433719E+02  -0.837758041E+02
    5   23   0.500895922E+02  -0.790513778E+02  -0.837758041E+02
    5   24  -0.553562085E+02  -0.754571253E+02  -0.837758041E+02
    5   25  -0.293423017E+02   0.888657241E+02  -0.837758041E+02
    5   26  -0.693993740E+02   0.959458362E+02  -0.418879020E+02
    5   27  -0.566950052E+01   0.118278203E+03   0.418879020E+02
    5   28   0.737747932E+02   0.926237361E+02  -0.418879020E+02
    5   29   0.111490760E+03   0.398959528E+02   0.418879020E+02
    5   30   0.112686549E+03  -0.363815636E+02  -0.418879020E+02
    5   31   0.693993740E+02  -0.959458362E+02   0.418879020E+02
    5   32   0.566950052E+01  -0.118278203E+03  -0.418879020E+02
    5   33  -0.737747932E+02  -0.926237361E+02   0.418879020E+02
    5   34  -0.111028042E+03  -0.411661318E+02  -0.418879020E+02
    5   35  -0.112686549E+03   0.363815636E+02   0.418879020E+02
    5   36  -0.878179587E+02   0.323433719E+02   0.837758041E+02
    5   37  -0.170528132E+02   0.920178740E+02   0.837758041E+02
    5   38   0.893368206E+02   0.278750796E+02   0.837758041E+02
    5   39   0.735335989E+02  -0.578869364E+02   0.837758041E+02
    5   40  -0.720573958E+02  -0.597144815E+02   0.837758041E+02
    6    1   0.118535966E+03  -0.162865143E+02  -0.837758041E+02
    6    2   0.687322757E+02   0.286167485E+02  -0.125663706E+03
    6    3   0.430369830E+01   0.119572170E+03  -0.837758041E+02
    6    4   0.740963018E+02   0.118699422E+03  -0.418879020E+02
    6    5   0.132997524E+03   0.434910709E+02  -0.418879020E+02
    6    6   0.139429173E+03  -0.118034040E+02   0.418879020E+02
    6    7   0.899981371E+02  -0.107145462E+03   0.418879020E+02
    6    8   0.784872735E+02  -0.115842836E+03  -0.418879020E+02
    6    9  -0.709113190E+02  -0.120629182E+03  -0.418879020E+02
    6   10  -0.556610269E+02  -0.494458705E+02  -0.125663706E+03
    6   11  -0.127058378E+03   0.586172618E+02  -0.418879020E+02
    6   12  -0.899981371E+02   0.107145462E+03  -0.418879020E+02
    6   13  -0.883290201E+02   0.108525568E+03   0.418879020E+02
    6   14   0.229286640E+02   0.138036557E+03   0.418879020E+02
    6   15   0.556610269E+02   0.494458705E+02   0.125663706E+03
    6   16  -0.687322757E+02  -0.286167485E+02   0.125663706E+03
    6   17  -0.287422290E+02  -0.116146072E+03   0.837758041E+02
    6   18  -0.622090967E+02  -0.125338913E+03   0.418879020E+02
    6   19  -0.132997524E+03  -0.434910709E+02   0.418879020E+02
    6   20  -0.108433412E+03   0.505788580E+02   0.837758041E+02
    6   21   0.118535966E+03   0.162865143E+02   0.837758041E+02
    6   22   0.687322757E+02  -0.286167485E+02   0.125663706E+03
    6   23   0.430369830E+01  -0.119572170E+03   0.837758041E+02
    6   24   0.740963018E+02  -0.118699422E+03   0.418879020E+02
    6   25   0.132997524E+03  -0.434910709E+02   0.418879020E+02
    6   26   0.139429173E+03   0.118034040E+02  -0.418879020E+02
    6   27   0.899981371E+02   0.107145462E+03  -0.418879020E+02
    6   28   0.784872735E+02   0.115842836E+03   0.418879020E+02
    6   29  -0.709113190E+02   0.120629182E+03   0.418879020E+02
    6   30  -0.556610269E+02   0.494458705E+02   0.125663706E+03
    6   31  -0.127058378E+03  -0.586172618E+02   0.418879020E+02
    6   32  -0.899981371E+02  -0.107145462E+03   0.418879020E+02
    6   33  -0.883290201E+02  -0.108525568E+03  -0.418879020E+02
    6   34   0.229286640E+02  -0.138036557E+03  -0.418879020E+02
    6   35   0.556610269E+02  -0.494458705E+02  -0.125663706E+03
    6   36  -0.687322757E+02   0.286167485E+02  -0.125663706E+03
    6   37  -0.287422290E+02   0.116146072E+03  -0.837758041E+02
    6   38  -0.622090967E+02   0.125338913E+03  -0.418879020E+02
    6   39  -0.132997524E+03   0.434910709E+02  -0.418879020E+02
    6   40  -0.108433412E+03  -0.505788580E+02  -0.837758041E+02
    7    1   0.107866416E+03  -0.952675675E+02  -0.837758041E+02
    7    2   0.109864999E+03  -0.117917531E+03   0.418879020E+02
    7    3   0.490376917E+02  -0.153525786E+03   0.418879020E+02
    7    4  -0.695726962E+02  -0.145377103E+03  -0.418879020E+02
    7    5  -0.904079004E+02  -0.111970910E+03  -0.837758041E+02
    7    6  -0.452048696E+02  -0.994716601E+02  -0.125663706E+03
    7    7   0.396950697E+02   0.101795839E+03  -0.125663706E+03
    7    8   0.142531471E+03   0.198960482E+02  -0.837758041E+02
    7    9   0.147306393E+03   0.653887502E+02   0.418879020E+02
    7   10   0.137638070E+03  -0.420337354E+02   0.837758041E+02
    7   11   0.109028652E+03   0.713053196E+01   0.125663706E+03
    7   12  -0.800470571E+02  -0.743677353E+02   0.125663706E+03
    7   13  -0.142531471E+03  -0.198960482E+02   0.837758041E+02
    7   14  -0.147306393E+03  -0.653887502E+02  -0.418879020E+02
    7   15  -0.137638070E+03   0.420337354E+02  -0.837758041E+02
    7   16  -0.106517534E+03   0.120949895E+03  -0.418879020E+02
    7   17  -0.267090944E+00   0.161166965E+03  -0.418879020E+02
    7   18   0.638578493E+02   0.147976475E+03   0.418879020E+02
    7   19   0.313815258E+01   0.143879203E+03   0.837758041E+02
    7   20  -0.107866416E+03   0.952675675E+02   0.837758041E+02
    7   21   0.107866416E+03   0.952675675E+02   0.837758041E+02
    7   22   0.109864999E+03   0.117917531E+03  -0.418879020E+02
    7   23   0.490376917E+02   0.153525786E+03  -0.418879020E+02
    7   24  -0.695726962E+02   0.145377103E+03   0.418879020E+02
    7   25  -0.904079004E+02   0.111970910E+03   0.837758041E+02
    7   26  -0.452048696E+02   0.994716601E+02   0.125663706E+03
    7   27   0.396950697E+02  -0.101795839E+03   0.125663706E+03
    7   28   0.142531471E+03  -0.198960482E+02   0.837758041E+02
    7   29   0.147306393E+03  -0.653887502E+02  -0.418879020E+02
    7   30   0.137638070E+03   0.420337354E+02  -0.837758041E+02
    7   31   0.109028652E+03  -0.713053196E+01  -0.125663706E+03
    7   32  -0.800470571E+02   0.743677353E+02  -0.125663706E+03
    7   33  -0.142531471E+03   0.198960482E+02  -0.837758041E+02
    7   34  -0.147306393E+03   0.653887502E+02   0.418879020E+02
    7   35  -0.137638070E+03  -0.420337354E+02   0.837758041E+02
    7   36  -0.106517534E+03  -0.120949895E+03   0.418879020E+02
    7   37  -0.267090944E+00  -0.161166965E+03   0.418879020E+02
    7   38   0.638578493E+02  -0.147976475E+03  -0.418879020E+02
    7   39   0.313815258E+01  -0.143879203E+03  -0.837758041E+02
    7   40  -0.107866416E+03  -0.952675675E+02  -0.837758041E+02
    8    1  -0.171311161E+03   0.621249145E+02  -0.418879020E+02
    8    2  -0.180692544E+03  -0.236055760E+02   0.418879020E+02
    8    3  -0.122540819E+03   0.644514987E+02   0.125663706E+03
    8    4  -0.706788966E+02   0.167962830E+03   0.418879020E+02
    8    5  -0.105257723E+03   0.148754262E+03  -0.418879020E+02
    8    6   0.662662459E+01   0.138297997E+03  -0.125663706E+03
    8    7   0.972152120E+01  -0.824230896E+02  -0.167551608E+03
    8    8  -0.100250076E+03  -0.954995831E+02  -0.125663706E+03
    8    9  -0.777982985E+02  -0.164786054E+03  -0.418879020E+02
    8   10  -0.110353785E+03  -0.145014002E+03   0.418879020E+02
    8   11  -0.662662459E+01  -0.138297997E+03   0.125663706E+03
    8   12  -0.972152120E+01   0.824230896E+02   0.167551608E+03
    8   13   0.121848833E+03   0.657503612E+02   0.125663706E+03
    8   14   0.625763524E+02   0.171146776E+03   0.418879020E+02
    8   15   0.118145969E+03   0.138739139E+03  -0.418879020E+02
    8   16   0.180692544E+03   0.236055760E+02  -0.418879020E+02
    8   17   0.122540819E+03  -0.644514987E+02  -0.125663706E+03
    8   18   0.706788966E+02  -0.167962830E+03  -0.418879020E+02
    8   19   0.105257723E+03  -0.148754262E+03   0.418879020E+02
    8   20   0.180954685E+03  -0.215039723E+02   0.418879020E+02
    8   21  -0.171311161E+03  -0.621249145E+02   0.418879020E+02
    8   22  -0.180692544E+03   0.236055760E+02  -0.418879020E+02
    8   23  -0.122540819E+03  -0.644514987E+02  -0.125663706E+03
    8   24  -0.706788966E+02  -0.167962830E+03  -0.418879020E+02
    8   25  -0.105257723E+03  -0.148754262E+03   0.418879020E+02
    8   26   0.662662459E+01  -0.138297997E+03   0.125663706E+03
    8   27   0.972152120E+01   0.824230896E+02   0.167551608E+03
    8   28  -0.100250076E+03   0.954995831E+02   0.125663706E+03
    8   29  -0.777982985E+02   0.164786054E+03   0.418879020E+02
    8   30  -0.110353785E+03   0.145014002E+03  -0.418879020E+02
    8   31  -0.662662459E+01   0.138297997E+03  -0.125663706E+03
    8   32  -0.972152120E+01  -0.824230896E+02  -0.167551608E+03
    8   33   0.121848833E+03  -0.657503612E+02  -0.125663706E+03
    8   34   0.625763524E+02  -0.171146776E+03  -0.418879020E+02
    8   35   0.118145969E+03  -0.138739139E+03   0.418879020E+02
    8   36   0.180692544E+03  -0.236055760E+02   0.418879020E+02
    8   37   0.122540819E+03   0.644514987E+02   0.125663706E+03
    8   38   0.706788966E+02   0.167962830E+03   0.418879020E+02
    8   39   0.105257723E+03   0.148754262E+03  -0.418879020E+02
    8   40   0.180954685E+03   0.215039723E+02  -0.418879020E+02
    9    1  -0.113643334E+03   0.119685866E+03   0.125663706E+03
    9    2  -0.197215295E+03   0.488099575E+02   0.418879020E+02
    9    3  -0.182661790E+03  -0.889435500E+02  -0.418879020E+02
    9    4  -0.116074253E+03  -0.166742473E+03   0.418879020E+02
    9    5  -0.945162951E+02  -0.776144928E+02   0.167551608E+03
    9    6   0.949726364E+02  -0.770554208E+02   0.167551608E+03
    9    7   0.123821591E+03   0.109122535E+03   0.125663706E+03
    9    8  -0.620591917E+02   0.152931915E+03   0.125663706E+03
    9    9  -0.216049475E+02   0.202013640E+03   0.418879020E+02
    9   10  -0.140332437E+03   0.146911850E+03  -0.418879020E+02
    9   11  -0.949726364E+02   0.770554208E+02  -0.167551608E+03
    9   12  -0.144132027E+03  -0.804081626E+02  -0.125663706E+03
    9   13   0.511017108E+01  -0.164964845E+03  -0.125663706E+03
    9   14   0.216049475E+02  -0.202013640E+03  -0.418879020E+02
    9   15   0.140332437E+03  -0.146911850E+03   0.418879020E+02
    9   16   0.197215295E+03  -0.488099575E+02  -0.418879020E+02
    9   17   0.187011023E+03   0.793924558E+02   0.418879020E+02
    9   18   0.116074253E+03   0.166742473E+03  -0.418879020E+02
    9   19   0.517887569E+02   0.110793791E+03  -0.167551608E+03
    9   20   0.155514956E+03  -0.552685474E+02  -0.125663706E+03
    9   21  -0.113643334E+03  -0.119685866E+03  -0.125663706E+03
    9   22  -0.197215295E+03  -0.488099575E+02  -0.418879020E+02
    9   23  -0.182661790E+03   0.889435500E+02   0.418879020E+02
    9   24  -0.116074253E+03   0.166742473E+03  -0.418879020E+02
    9   25  -0.945162951E+02   0.776144928E+02  -0.167551608E+03
    9   26   0.949726364E+02   0.770554208E+02  -0.167551608E+03
    9   27   0.123821591E+03  -0.109122535E+03  -0.125663706E+03
    9   28  -0.620591917E+02  -0.152931915E+03  -0.125663706E+03
    9   29  -0.216049475E+02  -0.202013640E+03  -0.418879020E+02
