ShellNo,kx,ky,kz,u_amp,v_amp,w_amp,u_hat_pn1,u_hat_pn2,u_hat_pn3
1,3.1288127301536655,-12.305571621350509,41.887902047863911,-0.23392025081409897E-1,0.79149244745865691E-3,0.19797848257950335E-2,-0.99587172371122457,0.33696310824388030E-1,0.84285636672333492E-1
1,8.9782114596549416,8.9782114596549416,41.887902047863911,0.22808974622094413E-1,-0.38746979487810610E-2,-0.40583541189141061E-2,0.97104944073622124,-0.16495801931144166,-0.17277683730962987
1,-8.9782114596549416,8.9782114596549416,41.887902047863911,0.16081885250079541E-1,-0.15706150784676045E-1,0.68134161763711582E-2,0.68465619067973127,-0.66865999845537927,0.29006845231698597
1,-11.916512403459965,4.3832971798343117,41.887902047863911,0.15198183000980685E-1,-0.16843568429926702E-1,0.60862370702446430E-2,0.64703421998695188,-0.71708342768021938,0.25911016173099827
1,-8.9782114596549416,-8.9782114596549416,41.887902047863911,0.10204464864140093E-1,-0.21028998699409170E-1,-0.23201198669292465E-2,0.43443600878651728,-0.89527029446223005,-0.98774764606922333E-1
1,-8.9782114596549416,-8.9782114596549416,41.887902047863911,-0.22721019004809322E-1,0.44980071191743501E-2,-0.39059023284117771E-2,-0.96730489481123416,0.19149424162499798,-0.16628648742063828
1,11.104148625251334,-6.1574706931407830,-41.887902047863911,0.20722783855972090E-1,0.10319218349110456E-1,0.39765321050114280E-2,0.88223377013830584,0.43932142381499745,0.16929341807853726
1,8.9782114596549416,-8.9782114596549416,41.887902047863911,-0.19723429531131317E-1,0.10933501065201126E-1,0.65709761563929733E-2,-0.83968812859535213,0.46547336171649173,0.27974702184006095
1,11.935834728605640,-4.3304054498360998,41.887902047863911,0.78807566258517550E-2,0.22127466196395496E-1,0.41957020988937590E-4,0.33550847597939604,0.94203549396322994,0.17862417071041756E-2
1,8.9782114596549416,8.9782114596549416,41.887902047863911,0.92367858036614785E-2,0.20626296156878089E-1,-0.64008234256364184E-2,0.39323888238962590,0.87812598678567777,-0.27250308752129315
1,8.9782114596549416,8.9782114596549416,-41.887902047863911,-0.40020816411186280E-2,0.22792441182397306E-1,0.40275070632989100E-2,-0.17038114179952971,0.97034556045938625,0.17146358160218217
1,-11.104148625251334,6.1574706931407830,41.887902047863911,-0.21685309041756716E-1,-0.77621140163460891E-2,-0.46075810813147886E-2,-0.92321147995807606,-0.33045748874666159,-0.19615914815493274
1,-8.9782114596549416,8.9782114596549416,-41.887902047863911,-0.22035126855149068E-1,-0.75168128487309487E-2,0.31118410523006648E-2,-0.93810431918834825,-0.32001425025956681,0.13248081352019608
1,-8.9782114596549416,8.9782114596549416,-41.887902047863911,-0.16871005143000530E-1,0.14860803256058926E-1,0.68013644005964014E-2,-0.71825149443146086,0.63267090826207262,0.28955537050073371
1,-8.9782114596549416,-8.9782114596549416,-41.887902047863911,-0.14993417349963106E-1,-0.16752069559387441E-1,0.68042962389516844E-2,-0.63831670531577500,-0.71318803437397749,0.28968018803604145
1,-6.4282028405246425,-10.949647038586660,-41.887902047863911,-0.14376083216118045E-1,-0.17313082015012412E-1,0.67318844438125029E-2,-0.61203485900967480,-0.73707209055390677,0.28659739127127609
1,8.9782114596549416,-8.9782114596549416,-41.887902047863911,-0.52071073021625969E-2,-0.22599168296846415E-1,0.37277971370125204E-2,-0.22168285586676620,-0.96211732878596989,0.15870399196146343
