-0.5802553147077560E-01,-0.1913432776927948E+00,0.9999787113738031E+05,0.6337474346160889E+01,-0.1959663480520248E+00
-0.5850325542433426E-01,-0.1911898888513286E+00,0.9999793404159776E+05,0.6337474346160888E+01,-0.1959663480520248E+00
-0.5954630824773647E-01,-0.1908549827555013E+00,0.9999793939597424E+05,0.6337474346160888E+01,-0.1959663480520248E+00
-0.6097062067301780E-01,-0.1903976608415127E+00,0.9999793292738876E+05,0.6337474393070181E+01,-0.1959663603951596E+00
-0.6252975626675575E-01,-0.1898970495562077E+00,0.9999798145337625E+05,0.6337474346160886E+01,-0.1959663480520247E+00
-0.6395406869203708E-01,-0.1894397276422191E+00,0.9999798222699208E+05,0.6337474357581333E+01,-0.1959663539600905E+00
-0.6499712151543929E-01,-0.1891048215463916E+00,0.9999799289099267E+05,0.6337474332894451E+01,-0.1959663411636079E+00
-0.6547484546899796E-01,-0.1889514327049255E+00,0.9999804860404474E+05,0.6337474346160889E+01,-0.1959663480520248E+00
-0.5049370601773262E-01,-0.1934610158205032E+00,0.9999787059369357E+05,0.6348684787750244E+01,-0.1970977336168289E+00
-0.5097672142476203E-01,-0.1933252054316255E+00,0.9999781762624680E+05,0.6348684788663919E+01,-0.1970977354247818E+00
-0.5203132750070997E-01,-0.1930286797738455E+00,0.9999784561994602E+05,0.6348684788475931E+01,-0.1970977336900668E+00
-0.5347141615590415E-01,-0.1926237672235748E+00,0.9999789081068937E+05,0.6348684787140925E+01,-0.1970977335553352E+00
-0.5504782133260407E-01,-0.1921805262897232E+00,0.9999786295787788E+05,0.6348684792546062E+01,-0.1970977381292653E+00
-0.5648790998779826E-01,-0.1917756137394525E+00,0.9999793318516310E+05,0.6348684689489366E+01,-0.1970977243154087E+00
-0.5754251606374618E-01,-0.1914790880816725E+00,0.9999795852063343E+05,0.6348684805961360E+01,-0.1970977354547398E+00
-0.5802553147077560E-01,-0.1913432776927948E+00,0.9999787113738031E+05,0.6337474346160889E+01,-0.1959663480520248E+00
-0.4288864135742188E-01,-0.1952984631061554E+00,0.9999772706871740E+05,0.6361229419708252E+01,-0.1988652795553207E+00
-0.4337635358937501E-01,-0.1951806277481657E+00,0.9999775544489232E+05,0.6361229419465182E+01,-0.1988652795210721E+00
-0.4444121461791892E-01,-0.1949233484094764E+00,0.9999776684544045E+05,0.6361229416795412E+01,-0.1988652791449000E+00
-0.4589530664482683E-01,-0.1945720276032413E+00,0.9999777722338584E+05,0.6361229421291278E+01,-0.1988652841786110E+00
-0.4748704073032766E-01,-0.1941874513234173E+00,0.9999781670347371E+05,0.6361229421185058E+01,-0.1988652797634037E+00
-0.4894113275723557E-01,-0.1938361305171822E+00,0.9999781255915856E+05,0.6361229293514010E+01,-0.1988652721457253E+00
-0.5000599378577947E-01,-0.1935788511784928E+00,0.9999781404230630E+05,0.6348684793024461E+01,-0.1970977513036419E+00
-0.5049370601773262E-01,-0.1934610158205032E+00,0.9999787059369357E+05,0.6348684787750244E+01,-0.1970977336168289E+00
-0.3522008657455444E-01,-0.1968497484922409E+00,0.9999765804053328E+05,0.6373220920562744E+01,-0.1990142017602921E+00
-0.3571187042335270E-01,-0.1967502646756215E+00,0.9999767439010143E+05,0.6373220949284772E+01,-0.1990142071335203E+00
-0.3678562133781183E-01,-0.1965330537213988E+00,0.9999768073887471E+05,0.6373220921660113E+01,-0.1990142023531004E+00
-0.3825185270673993E-01,-0.1962364472082238E+00,0.9999769724696229E+05,0.6373220916432452E+01,-0.1990142017089980E+00
-0.3985687522523639E-01,-0.1959117643901725E+00,0.9999772969985701E+05,0.6373220906927837E+01,-0.1990142019687945E+00
-0.4132310659416449E-01,-0.1956151578769975E+00,0.9999773542337008E+05,0.6361229421046000E+01,-0.1988652795719342E+00
-0.4239685750862362E-01,-0.1953979469227747E+00,0.9999772988898669E+05,0.6361229413428405E+01,-0.1988652794773315E+00
