  0.1162459775805473E+00  0.2000000029802322E+00  0.1000014149856569E+06  0.6079586982727051E+01 -0.3233551234006882E-01
  0.1165768567123912E+00  0.2000000029802322E+00  0.1000014233355158E+06  0.6079603671819288E+01 -0.2958141526680207E-01
  0.1172992915204090E+00  0.2000000029802322E+00  0.1000014307273073E+06  0.6079751015154760E+01 -0.3047446368039545E-01
  0.1182857927314973E+00  0.2000000029802322E+00  0.1000014357503644E+06  0.6079804897308867E+01 -0.2987198368169661E-01
  0.1193656745918059E+00  0.2000000029802323E+00  0.1000014357061718E+06  0.6079792499611327E+01 -0.2989961275365979E-01
  0.1203521758028943E+00  0.2000000029802322E+00  0.1000014358660187E+06  0.6079758644156652E+01 -0.3021026557193582E-01
  0.1210746106109120E+00  0.2000000029802322E+00  0.1000014352581393E+06  0.6079781532373533E+01 -0.2944486104781044E-01
  0.1214054897427559E+00  0.2000000029802322E+00  0.1000014324244744E+06  0.6079801082611084E+01 -0.3047405928373337E-01
  0.1214054897427559E+00  0.2000000029802322E+00  0.1000014324244744E+06  0.6079801082611084E+01 -0.3047405928373337E-01
  0.1217392466952016E+00  0.2000000029802322E+00  0.1000014354302121E+06  0.6079828262423331E+01 -0.2951683997429079E-01
  0.1224679648785485E+00  0.2000000029802322E+00  0.1000014360724448E+06  0.6079902648925328E+01 -0.3010164945716527E-01
  0.1234630461819900E+00  0.2000000029802322E+00  0.1000014355088076E+06  0.6079906940501751E+01 -0.2964375671036430E-01
  0.1245523203126657E+00  0.2000000029802323E+00  0.1000014354096325E+06  0.6079895496320602E+01 -0.2963670858851605E-01
  0.1255474016161071E+00  0.2000000029802322E+00  0.1000014294906481E+06  0.6079893588735178E+01 -0.3021156087172539E-01
  0.1262761197994541E+00  0.2000000029802322E+00  0.1000014255699937E+06  0.6079959392458470E+01 -0.2965363068434946E-01
  0.1266098767518997E+00  0.2000000029802322E+00  0.1000014219912246E+06  0.6079987049102783E+01 -0.3075665049254894E-01
  0.1266098767518997E+00  0.2000000029802322E+00  0.1000014219912246E+06  0.6079987049102783E+01 -0.3075665049254894E-01
  0.1269465096137264E+00  0.2000000029802322E+00  0.1000014169709926E+06  0.6080009937340370E+01 -0.2968137612148753E-01
  0.1276815069994818E+00  0.2000000029802322E+00  0.1000014154789561E+06  0.6080033779163847E+01 -0.2952794923568428E-01
  0.1286851626970581E+00  0.2000000029802322E+00  0.1000014135426087E+06  0.6080006122563062E+01 -0.2910713973868484E-01
