  0.1596229523420334E-01  0.4605079884640872E-03  0.9999324179383984E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1612916374748809E-01  0.4155290123823936E-03  0.9999319575533182E+05  0.1189247469883963E-05 -0.3184112924621207E-06
  0.1649365932696533E-01  0.3179306934587272E-03  0.9999310916163887E+05  0.4027127030380743E-06 -0.1075858585492339E-06
  0.1699173693423237E-01  0.1860046796110086E-03  0.9999300005867155E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1753742581533684E-01  0.4337330040157310E-04  0.9999288286060843E+05  0.1632521554054877E-05 -0.4235613080252055E-06
  0.1803635123566615E-01 -0.8529591102674844E-04  0.9999278113276638E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1840198115703856E-01 -0.1785367511700397E-03  0.9999271111524473E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1856951415538788E-01 -0.2209631638834253E-03  0.9999267799070530E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1856951415538788E-01 -0.2209631638834253E-03  0.9999267799070530E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1873708372367887E-01 -0.2632473259479439E-03  0.9999264935174622E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1910308420246876E-01 -0.3550288572753258E-03  0.9999257780721202E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.1960315969124000E-01 -0.4791603847265961E-03  0.9999248440265245E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2015096000088124E-01 -0.6134559814463089E-03  0.9999239057103831E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2065174523356196E-01 -0.7346897549178151E-03  0.9999229727453354E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2101869532292895E-01 -0.8225942007326203E-03  0.9999223330826014E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2118682116270065E-01 -0.8626072085462511E-03  0.9999221458599204E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2118682116270065E-01 -0.8626072085462511E-03  0.9999221458599204E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2135497676400108E-01 -0.9024913073376243E-03  0.9999217845202214E+05  0.6366144161529852E-06 -0.1507257797303602E-06
  0.2172223771412420E-01 -0.9890825708490935E-03  0.9999211764806196E+05  0.2078426121071460E-05 -0.4880170807612124E-06
  0.2222399217542929E-01 -0.1106237402684469E-02  0.9999203900147398E+05  0.2192775037780944E-06 -0.5091045437236432E-07
  0.2277357449021115E-01 -0.1233042469957830E-02  0.9999194534689480E+05  0.2124429696285718E-05 -0.4871080917055304E-06
  0.2327593656989533E-01 -0.1347567337606555E-02  0.9999186680834512E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2364401049048840E-01 -0.1430639808246766E-02  0.9999181358270743E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2381264232099056E-01 -0.1468462636694312E-02  0.9999179252077511E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2381264232099056E-01 -0.1468462636694312E-02  0.9999179252077511E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2398130063983459E-01 -0.1506161104900653E-02  0.9999176246306604E+05  0.2149651381654330E-05 -0.4796467341237101E-06
  0.2434964473095693E-01 -0.1588017847005808E-02  0.9999171195617999E+05  0.8821161057341463E-06 -0.1952463150528180E-06
  0.2485284616077455E-01 -0.1698790751314407E-02  0.9999164059074181E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2540396994314033E-01 -0.1818719872710572E-02  0.9999155035653384E+05  0.2352876995600324E-05 -0.5088993170079485E-06
  0.2590770139875529E-01 -0.1927063943787171E-02  0.9999149038289745E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2627675464440025E-01 -0.2005670998651100E-02  0.9999144213516061E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2644582837820053E-01 -0.2041465835645795E-02  0.9999140698015608E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2644582837820053E-01 -0.2041465835645795E-02  0.9999140698015608E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2661492589116541E-01 -0.2077144946631638E-02  0.9999139051591895E+05  0.1274575100029144E-05 -0.2684664698712839E-06
  0.2698421708972162E-01 -0.2154621390050869E-02  0.9999134378949866E+05  0.2141171638228232E-07 -0.4474403940808599E-08
  0.2748868562913547E-01 -0.2259476536217923E-02  0.9999128124560318E+05  0.9095402123368493E-06 -0.1880309905208827E-06
  0.2804116180175126E-01 -0.2373011968583664E-02  0.9999121094193458E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2854609703772294E-01 -0.2475592182981403E-02  0.9999114839800321E+05  0.6898583828712194E-06 -0.1393755281258018E-06
  0.2891601265866828E-01 -0.2550024853510838E-02  0.9999110167166739E+05  0.6519480213331121E-06 -0.1306462466767630E-06
  0.2908547595143318E-01 -0.2583920955657959E-02  0.9999108137694772E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2908547595143318E-01 -0.2583920955657959E-02  0.9999108137694772E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2925496206647766E-01 -0.2617700695236683E-02  0.9999106035581340E+05  0.0000000000000000E+00  0.0000000000000000E+00
  0.2962509278599467E-01 -0.2691053397009179E-02  0.9999101640130286E+05  0.3052772551201280E-05 -0.6026426741406356E-06
  0.3013068789308353E-01 -0.2790329117052822E-02  0.9999096084899431E+05  0.1459055094444728E-05 -0.2849535328800593E-06
